estacion,provincia,region,oaci,latitud,longitud,altura,nro,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total,G0_verano_W_m2,G0_invierno_W_m2,declinacion_verano_grados,declinacion_invierno_grados,duracion_dia_verano_horas,duracion_dia_invierno_horas,angulo_cenital_mediodia_verano_grados,angulo_cenital_mediodia_invierno_grados,ghi,dhi,dni
esquel_aero,CHUBUT,Patagonia,SAVE,-42.9,-71.1333,797.0,87803.0,6.1,0.4168,8.8,5.325,2.7,2.2194,63.9,28.0,0.1797,75.4,60.275,47.4,10.8321,723.3,1.5,0.1249,4.6,3.8667,3.1,0.483,46.4,60.8,0.5446,81.1,39.3833,20.3,21.4467,472.6,13.7,0.5734,15.4,8.6,1.7,4.9315,103.2,16.1,0.3936,22.3,14.5667,6.2,5.7342,174.8,11.0,1.2942,8.6,3.0,-2.4,3.8826,36.0,1405.913,1316.8187,-23.0859,23.4498,15.1112,8.8305,19.8141,66.3498,182.73177777777778,78.49733333333334,221.51087500000003
ezeiza_aero,BUENOS AIRES,Pampeana,SAEZ,-34.8167,-58.5333,20.0,87576.0,3.0,0.1691,7.5,5.7917,4.5,0.9793,69.5,15.6,0.0712,79.7,72.6667,64.1,5.1713,872.0,1.1,0.1104,4.5,3.9,3.4,0.4306,46.8,60.1,0.2648,108.5,84.575,48.4,22.3961,1014.9,14.3,0.2977,24.1,17.0417,9.8,5.0726,204.5,15.3,0.2372,30.3,22.7083,15.0,5.3868,272.5,12.7,0.3918,17.9,11.5417,5.2,4.522,138.5,1405.913,1316.8187,-23.0859,23.4498,14.2991,9.659,11.7308,58.2664,199.86391666666665,77.28377777777779,212.44079166666666
formosa_aero,FORMOSA,NEA,SARF,-26.2,-58.2167,60.0,87162.0,4.9,0.2638,8.3,6.3333,3.4,1.6708,76.0,11.9,0.0562,81.2,74.5083,69.3,4.1895,894.1,1.0,0.0671,4.5,3.9333,3.5,0.264,47.2,143.6,0.4386,178.4,117.2083,34.8,51.4051,1406.5,11.3,0.1802,27.7,22.45,16.4,4.0455,269.4,11.4,0.1422,34.1,28.6167,22.7,4.0691,343.4,11.0,0.225,22.5,17.375,11.5,3.9099,208.5,1405.913,1316.8187,-23.0859,23.4498,13.6143,10.3568,3.1141,49.6498,201.9707222222222,81.16088888888889,198.06595833333336
general_pico_aero,LA PAMPA,Pampeana,SAZG,-35.6833,-63.75,145.0,87532.0,5.1,0.3667,7.8,5.3833,2.7,1.9738,64.6,19.0,0.0937,78.0,68.0083,59.0,6.3734,816.1,1.0,0.1,4.0,3.45,3.0,0.3451,41.4,114.7,0.5833,130.6,73.7667,15.9,43.0312,885.2,15.8,0.3487,23.8,16.2667,8.0,5.6725,195.2,15.8,0.2436,30.9,23.3917,15.1,5.6982,280.7,14.6,0.5208,17.1,10.1,2.5,5.2596,121.2,1405.913,1316.8187,-23.0859,23.4498,14.3766,9.58,12.5974,59.1331,206.02833333333334,74.43502777777778,226.5482083333333
gobernador_gregores_aero,SANTA CRUZ,Patagonia,SAWR,-48.7667,-70.15,358.0,87880.0,2.0,0.1996,3.8,2.5167,1.8,0.5024,30.2,30.66,0.1947,74.36,56.0183,43.7,10.9086,672.22,0.7,0.0577,4.2,3.84,3.5,0.2217,46.08,8.1,0.243,16.2,10.45,8.1,2.5397,125.4,13.4,0.5443,15.3,9.055,1.9,4.9283,108.66,16.9,0.4216,22.6,14.7667,5.7,6.2252,177.2,11.6,1.124,9.2,3.7667,-2.4,4.2337,45.2,1405.913,1316.8187,-23.0859,23.4498,15.8799,8.0448,25.6808,72.2164,165.6209722222222,77.17844444444445,203.75887500000002
gualeguaychu_aero,ENTRE RIOS,NEA,SAAG,-33.0,-58.6,23.0,87497.0,3.4,0.1931,7.6,5.9833,4.2,1.1551,71.8,16.2,0.0741,82.0,74.275,65.8,5.5067,891.3,1.0,0.0969,4.1,3.525,3.1,0.3415,42.3,83.7,0.3134,140.2,101.5,56.5,31.8082,1218.0,14.2,0.2803,24.9,17.925,10.7,5.0249,215.1,14.6,0.2142,31.2,24.025,16.6,5.1455,288.3,12.8,0.3654,18.8,12.4583,6.0,4.5528,149.5,1405.913,1316.8187,-23.0859,23.4498,14.1426,9.8185,9.9141,56.4498,201.1626111111111,74.37947222222222,219.78224999999998
iguazu_aero,MISIONES,NEA,SARI,-25.7167,-54.4667,270.0,87097.0,5.5,0.1676,11.4,8.3167,5.9,1.394,99.8,12.8,0.0512,88.6,81.1417,75.8,4.1535,973.7,0.9,0.0814,4.1,3.65,3.2,0.297,43.8,163.3,0.2684,247.0,163.3083,83.7,43.8337,1959.7,9.9,0.1699,25.8,21.35,15.9,3.6265,256.2,9.8,0.1303,32.0,27.6833,22.2,3.6063,332.2,9.7,0.215,20.7,16.275,11.0,3.4999,195.3,1405.913,1316.8187,-23.0859,23.4498,13.5795,10.3922,2.6308,49.1664,202.15777777777774,83.69616666666666,197.05958333333334
jachal,SAN JUAN,Cuyo,SAMJ,-30.2167,-68.7333,1175.0,87305.0,3.1,0.6505,3.6,1.5083,0.5,0.9811,18.1,18.0,0.1099,66.2,57.3333,48.2,6.2994,688.0,1.2,0.1748,3.0,2.3583,1.8,0.4122,28.3,30.5,0.8872,32.3,10.2833,1.8,9.1238,123.4,18.2,0.3942,25.4,16.7667,7.2,6.6098,201.2,15.3,0.2193,32.9,25.6083,17.6,5.6158,307.3,19.0,0.9367,16.6,7.3833,-2.4,6.916,88.6,1405.913,1316.8187,-23.0859,23.4498,13.9165,10.0489,7.1308,53.6664,246.69430555555553,67.83983333333333,317.8427916666667
jujuy_aero,JUJUY,NOA,SASJ,-24.3833,-65.0833,907.0,87046.0,10.8,0.8118,11.3,5.2833,0.5,4.2891,63.4,31.5,0.1603,81.5,68.75,50.0,11.0193,825.0,2.6,0.1997,5.4,4.4083,2.8,0.8806,52.9,151.9,1.0234,154.0,60.0333,2.1,61.4392,720.4,12.1,0.2329,24.0,19.025,11.9,4.4305,228.3,10.8,0.1548,30.7,25.9583,19.9,4.0173,311.5,12.5,0.3418,18.5,13.3583,6.0,4.566,160.3,1405.913,1316.8187,-23.0859,23.4498,13.4853,10.4881,1.2974,47.8331,229.20061111111113,86.96555555555555,257.28950000000003
jujuy_u_n,JUJUY,NOA,,-24.18,-65.33,1302.0,87047.0,12.1,0.6487,13.8,7.3583,1.7,4.7731,88.3,22.3,0.1048,84.9,76.1167,62.6,7.9754,913.4,2.8,0.212,5.8,4.7167,3.0,0.9998,56.6,185.6,0.9562,191.5,79.2667,5.9,75.7928,951.2,11.1,0.2384,21.3,16.7417,10.2,3.9915,200.9,9.1,0.145,27.7,23.7,18.6,3.4362,284.4,12.2,0.382,16.7,11.65,4.5,4.4502,139.8,1405.913,1316.8187,-23.0859,23.4498,13.4711,10.5026,1.0941,47.6298,229.20061111111113,86.96555555555555,257.28950000000003
junin_aero,BUENOS AIRES,Pampeana,SAAJ,-34.55,-60.9167,81.0,87548.0,5.5,0.3455,8.6,5.75,3.1,1.9865,69.0,14.4,0.066,78.9,72.3583,64.5,4.7788,868.3,0.9,0.0951,4.0,3.5417,3.1,0.337,42.5,104.5,0.4508,134.2,92.1,29.7,41.5191,1105.2,14.3,0.317,23.0,16.1,8.7,5.104,193.2,14.6,0.2267,29.8,22.9417,15.2,5.2004,275.3,13.1,0.4614,16.5,10.1333,3.4,4.6755,121.6,1405.913,1316.8187,-23.0859,23.4498,14.2757,9.6829,11.4641,57.9998,200.21988888888885,75.06188888888887,217.844875
la_plata_aero,BUENOS AIRES,Pampeana,SADL,-34.95,-57.8833,23.0,87593.0,2.3,0.1291,7.4,6.15,5.1,0.7937,73.8,14.3,0.0606,85.1,78.875,70.8,4.7759,946.5,1.0,0.1092,4.1,3.6167,3.1,0.395,43.4,54.2,0.2015,112.8,89.3917,58.6,18.0114,1072.7,13.9,0.3064,23.1,16.1917,9.2,4.9608,194.3,14.7,0.2417,28.9,21.625,14.2,5.2265,259.5,12.2,0.3947,17.4,11.2667,5.2,4.4473,135.2,1405.913,1316.8187,-23.0859,23.4498,14.3109,9.647,11.8641,58.3998,199.35188888888888,80.84863888888889,211.72804166666666
la_quiaca_observatorio,JUJUY,NOA,SASQ,-22.1,-65.6,3459.0,87007.0,11.5,1.1283,11.5,3.7167,0.0,4.1937,44.6,37.5,0.3334,63.2,43.6167,25.7,14.544,523.4,3.6,0.4902,4.9,2.7333,1.3,1.3398,32.8,101.9,1.2452,101.9,27.5583,0.0,34.3149,330.7,9.4,0.3386,13.9,10.3,4.5,3.4876,123.6,6.4,0.11,22.5,19.7083,16.1,2.1673,236.5,13.9,2.8867,7.7,1.8583,-6.2,5.3644,22.3,1405.913,1316.8187,-23.0859,23.4498,13.3289,10.6474,0.9859,45.5498,271.9723333333333,81.41202777777778,322.0317916666667
la_rioja_aero,LA RIOJA,NOA,SANL,-29.3667,-66.7833,429.0,87217.0,6.6,0.7587,7.1,3.1917,0.5,2.4217,38.3,23.5,0.1462,71.1,60.1083,47.6,8.7891,721.3,1.9,0.1944,4.0,3.225,2.1,0.6269,38.7,87.0,0.9559,90.3,33.9083,3.3,32.4126,406.9,17.0,0.307,27.6,20.2667,10.6,6.2211,243.2,15.9,0.2075,35.4,28.15,19.5,5.8422,337.8,17.3,0.4458,21.5,14.025,4.2,6.2519,168.3,1405.913,1316.8187,-23.0859,23.4498,13.8504,10.1163,6.2808,52.8164,226.43330555555553,73.47638888888889,263.2377916666667
laboulaye_aero,CORDOBA,Pampeana,SAOL,-34.1167,-63.3667,137.0,87534.0,6.1,0.4609,8.0,5.2917,1.9,2.4389,63.5,13.9,0.0742,78.4,71.1583,64.5,5.2801,853.9,1.1,0.1129,4.0,3.4,2.9,0.3838,40.8,124.2,0.6207,137.4,77.75,13.2,48.2624,933.0,15.1,0.3366,23.2,16.0833,8.1,5.4138,193.0,14.7,0.2241,30.4,23.55,15.7,5.2764,282.6,14.1,0.5018,16.9,10.2083,2.8,5.1229,122.5,1405.913,1316.8187,-23.0859,23.4498,14.2379,9.7214,11.0308,57.5664,204.37844444444443,73.40861111111111,227.98299999999998
las_flores,BUENOS AIRES,Pampeana,SAEL,-36.0333,-59.1333,36.0,87563.0,2.9,0.2007,7.0,5.6,4.1,1.1241,67.2,13.7,0.0626,82.2,76.625,68.5,4.7953,919.5,0.9,0.0897,4.4,3.9167,3.5,0.3512,47.0,68.9,0.2989,118.8,81.725,49.9,24.4282,980.7,14.5,0.3328,22.6,15.4333,8.1,5.1364,185.2,15.8,0.2559,29.7,21.9,13.9,5.6037,262.8,12.0,0.459,15.2,9.4417,3.2,4.3333,113.3,1405.913,1316.8187,-23.0859,23.4498,14.4084,9.5476,12.9474,59.4831,198.29919444444445,75.43658333333333,218.66320833333336
las_lomitas,FORMOSA,NEA,SATK,-24.7,-60.5833,130.0,87078.0,6.1,0.4313,7.5,5.15,1.4,2.2212,61.8,20.8,0.0971,80.0,69.8667,59.2,6.7843,838.4,1.5,0.1075,4.5,3.7917,3.0,0.4078,45.5,144.5,0.6587,156.4,80.6,11.9,53.0916,967.2,11.7,0.1813,28.3,22.9917,16.6,4.169,275.9,11.7,0.1382,35.5,30.1833,23.8,4.1709,362.2,11.3,0.2326,22.1,17.1833,10.8,3.9961,206.2,1405.913,1316.8187,-23.0859,23.4498,13.5075,10.4655,1.6141,48.1498,202.48066666666668,84.26630555555555,192.22641666666664
malargue_aero,MENDOZA,Cuyo,SAMM,-35.4667,-69.5833,1425.0,87506.0,1.5,0.153,4.1,3.2083,2.6,0.4907,38.5,23.7,0.1619,63.7,52.0167,40.0,8.4193,624.2,1.4,0.1459,4.0,3.3167,2.6,0.484,39.8,16.1,0.1801,33.5,26.7167,17.4,4.8119,320.6,16.8,0.4977,20.6,12.1417,3.8,6.0429,145.7,17.3,0.304,29.1,20.375,11.8,6.1942,244.5,13.9,1.0659,11.6,4.675,-2.3,4.9829,56.1,1405.913,1316.8187,-23.0859,23.4498,14.357,9.5999,12.3808,58.9164,226.7413055555556,75.84263888888889,274.66925
maquinchao,RIO NEGRO,Patagonia,SAVQ,-41.2333,-68.7,888.0,87774.0,4.0,0.4436,5.4,2.88,1.4,1.2777,34.56,28.3,0.1746,72.4,57.7833,44.1,10.0862,693.4,1.4,0.1371,4.0,3.3417,2.6,0.4582,40.1,26.54,0.3753,35.44,19.9883,8.9,7.5016,239.86,18.0,0.6739,18.6,9.5333,0.6,6.4246,114.4,20.5,0.4354,26.7,16.725,6.2,7.2829,200.7,14.0,1.8879,9.6,2.6417,-4.4,4.9872,31.7,1405.913,1316.8187,-23.0859,23.4498,14.9249,9.0207,18.1474,64.6831,203.06094444444443,70.65408333333333,258.6304166666667
mar_del_plata_aero,BUENOS AIRES,Pampeana,SAZM,-37.9167,-57.5667,21.0,87692.0,2.0,0.1047,7.7,6.5333,5.7,0.684,78.4,9.3,0.0391,82.0,78.3167,72.7,3.0608,939.8,1.0,0.0933,4.7,4.1833,3.7,0.3904,50.2,45.8,0.2048,103.6,78.8333,57.8,16.1457,946.0,12.8,0.3305,20.3,13.95,7.5,4.6106,167.4,13.8,0.2495,26.4,19.625,12.6,4.8964,235.5,11.3,0.47,14.5,8.8333,3.2,4.152,106.0,1405.913,1316.8187,-23.0859,23.4498,14.5855,9.3669,14.8308,61.3664,190.92011111111114,76.54188888888888,209.28404166666664
marcos_juarez_aero,CORDOBA,Pampeana,SAOM,-32.6667,-62.15,114.0,87467.0,5.9,0.4269,7.7,5.1167,1.8,2.1842,61.4,13.7,0.0665,80.5,74.6,66.8,4.9611,895.2,0.9,0.0906,4.0,3.4417,3.1,0.3118,41.3,136.1,0.6112,148.6,78.55,12.5,48.0062,942.6,14.3,0.3029,23.5,16.9583,9.2,5.1364,203.5,13.6,0.202,30.4,24.275,16.8,4.9038,291.3,13.7,0.4563,17.2,10.8167,3.5,4.9354,129.8,1405.913,1316.8187,-23.0859,23.4498,14.1147,9.8469,9.5808,56.1164,205.54622222222224,75.59202777777779,222.02154166666665
mendoza_aero,MENDOZA,Cuyo,SAME,-32.8333,-68.7833,704.0,87418.0,3.5,0.4418,4.5,2.5167,1.0,1.1118,30.2,25.6,0.1693,69.1,54.8917,43.5,9.2925,658.7,1.0,0.083,3.7,3.1167,2.7,0.2588,37.4,42.2,0.7015,47.2,19.8333,5.0,13.9123,238.0,18.0,0.3752,25.9,17.3417,7.9,6.5067,208.1,17.5,0.2594,32.8,24.3667,15.3,6.3206,292.4,17.3,0.5631,19.3,11.0667,2.0,6.2316,132.8,1405.913,1316.8187,-23.0859,23.4498,14.1286,9.8327,9.7474,56.2831,231.65730555555555,71.19352777777777,290.481625
mendoza_observatorio,MENDOZA,Cuyo,SAMK,-32.8833,-68.8667,827.0,87420.0,3.3,0.3681,4.9,3.1167,1.6,1.1472,37.4,19.1,0.1166,70.4,59.3,51.3,6.9119,711.6,1.0,0.0833,3.7,3.0917,2.7,0.2575,37.1,36.2,0.566,44.3,22.25,8.1,12.5925,267.0,17.0,0.3755,24.4,16.25,7.4,6.1016,195.0,16.0,0.2517,30.7,22.9833,14.7,5.7844,275.8,15.4,0.505,18.3,10.8667,2.9,5.4877,130.4,1405.913,1316.8187,-23.0859,23.4498,14.1328,9.8285,9.7974,56.3331,231.65730555555555,71.19352777777777,290.481625
monte_caseros_aero,CORRIENTES,NEA,SARM,-30.25,-57.6333,54.0,87393.0,4.2,0.2001,8.4,6.5667,4.2,1.3138,78.8,14.0,0.065,81.5,74.1,67.5,4.8185,889.2,1.0,0.0931,4.2,3.5917,3.2,0.3343,43.1,135.5,0.3425,197.2,126.7583,61.7,43.4146,1521.1,13.1,0.2351,26.2,19.775,13.1,4.6494,237.3,13.5,0.1866,32.4,25.775,18.9,4.8093,309.3,11.8,0.2845,20.6,14.8,8.8,4.2106,177.6,1405.913,1316.8187,-23.0859,23.4498,13.9191,10.0462,7.1641,53.6998,202.31005555555555,75.99591666666667,214.81699999999992
neuquen_aero,NEUQUEN,Patagonia,SAZN,-38.95,-68.1333,271.0,87715.0,2.4,0.3019,4.0,2.475,1.6,0.7473,29.7,33.7,0.2334,70.9,53.5583,37.2,12.4987,642.7,2.2,0.2183,4.5,3.4417,2.3,0.7513,41.3,23.3,0.3815,32.9,17.6417,9.6,6.7302,211.7,18.1,0.437,24.1,14.9333,6.0,6.5265,179.2,19.0,0.3059,32.1,22.55,13.1,6.898,270.6,15.4,0.6818,15.9,8.1,0.5,5.5222,97.2,1405.913,1316.8187,-23.0859,23.4498,14.6873,9.2632,15.8641,62.3998,215.2696666666667,67.79144444444445,271.835625
nueve_de_julio,BUENOS AIRES,Pampeana,SAZX,-35.4333,-60.8667,76.0,87550.0,5.1,0.2938,8.3,5.925,3.2,1.741,71.1,16.3,0.077,78.9,71.0833,62.6,5.4719,853.0,1.0,0.1019,4.2,3.6,3.2,0.3668,43.2,101.6,0.4139,139.4,87.7833,37.8,36.3294,1053.4,14.8,0.3276,23.3,16.0917,8.5,5.2723,193.1,15.9,0.2471,30.5,22.8333,14.6,5.6423,274.0,12.6,0.4263,16.8,10.6,4.2,4.5193,127.2,1405.913,1316.8187,-23.0859,23.4498,14.354,9.603,12.3474,58.8831,198.55158333333335,74.00352777777779,218.188625
obera,MISIONES,NEA,SATO,-27.4833,-55.1167,303.0,87187.0,1.92,0.0731,9.5,8.555,7.58,0.6251,68.44,9.9,0.0486,84.6,79.5375,74.7,3.8634,636.3,0.7,0.0761,4.0,3.6125,3.3,0.2748,28.9,71.8,0.1314,215.2,172.6475,143.4,22.6907,1381.18,9.0,0.1547,24.7,20.5125,15.7,3.1742,164.1,10.1,0.1316,31.6,27.0375,21.5,3.5585,216.3,7.8,0.1797,19.3,15.5625,11.5,2.7964,124.5,1405.913,1316.8187,-23.0859,23.4498,13.7081,10.2612,4.3974,50.9331,198.38030555555554,79.03230555555557,199.577375
olavarria_aero,BUENOS AIRES,Pampeana,SAZF,-36.8833,-60.2167,166.0,87643.0,3.9,0.2649,7.4,5.5167,3.5,1.4615,66.2,17.1,0.0773,82.0,75.4333,64.9,5.8337,905.2,0.8,0.0811,4.5,4.075,3.7,0.3306,48.9,74.3,0.3513,111.8,76.1083,37.5,26.7387,913.3,15.2,0.382,21.7,14.075,6.5,5.3771,168.9,16.2,0.2739,29.0,20.8833,12.8,5.7206,250.6,12.5,0.564,14.1,7.9333,1.6,4.4744,95.2,1405.913,1316.8187,-23.0859,23.4498,14.4871,9.4673,13.7974,60.3331,199.21436111111112,74.3157777777778,221.79587500000002
oran_aero,SALTA,NOA,SASO,-23.15,-64.3167,357.0,87016.0,10.0,0.6889,10.7,5.75,0.7,3.9611,69.0,28.6,0.1319,84.3,73.3,55.7,9.6696,879.6,2.5,0.1675,5.7,4.8667,3.2,0.815,58.4,195.4,0.9376,198.4,80.6333,3.0,75.6004,967.6,11.5,0.1958,26.4,21.7167,14.9,4.2518,260.6,11.6,0.149,33.2,28.375,21.6,4.2281,340.5,12.0,0.2626,21.6,16.75,9.6,4.3982,201.0,1405.913,1316.8187,-23.0859,23.4498,13.4001,10.5749,0.0641,46.5998,198.4174722222222,91.23230555555556,183.77579166666666
parana_aero,ENTRE RIOS,NEA,SAAP,-31.7833,-60.4833,78.0,87374.0,4.5,0.3197,7.4,5.575,2.9,1.7823,66.9,14.7,0.074,79.6,71.7417,64.9,5.3122,860.9,1.0,0.1008,4.0,3.3667,3.0,0.3393,40.4,121.2,0.4919,152.0,96.2333,30.8,47.3395,1154.8,13.6,0.2623,25.0,18.3333,11.4,4.8086,220.0,14.3,0.2079,31.2,24.225,16.9,5.037,290.7,12.2,0.324,19.4,13.4,7.2,4.3418,160.8,1405.913,1316.8187,-23.0859,23.4498,14.0419,9.9212,8.6974,55.2331,205.42366666666666,74.20527777777778,222.31633333333335
paso_de_los_libres_aero,CORRIENTES,NEA,SARL,-29.6833,-57.1333,70.0,87289.0,4.2,0.1595,8.8,6.675,4.6,1.0644,80.1,14.5,0.0649,82.6,74.6833,68.1,4.846,896.2,0.9,0.0697,4.3,3.7917,3.4,0.2644,45.5,123.4,0.3229,180.4,126.475,57.0,40.8388,1517.7,12.6,0.2264,26.0,19.9083,13.4,4.5071,238.9,13.2,0.1815,32.2,25.8,19.0,4.6817,309.6,11.6,0.2763,20.6,14.95,9.0,4.1307,179.4,1405.913,1316.8187,-23.0859,23.4498,13.8749,10.0913,6.5974,53.1331,201.65349999999998,76.3428611111111,211.56833333333336
pehuajo_aero,BUENOS AIRES,Pampeana,SAZP,-35.8333,-61.85,87.0,87544.0,4.9,0.318,8.1,5.7167,3.2,1.818,68.6,15.4,0.0679,81.0,73.8333,65.6,5.0101,886.0,0.9,0.0965,4.2,3.725,3.3,0.3596,44.7,104.8,0.4812,128.6,78.3917,23.8,37.7218,940.7,15.2,0.3458,23.0,15.5833,7.8,5.388,187.0,15.6,0.2499,29.8,22.2833,14.2,5.5689,267.4,13.2,0.4831,16.2,9.75,3.0,4.7102,117.0,1405.913,1316.8187,-23.0859,23.4498,14.3902,9.5661,12.7474,59.2831,202.40869444444445,74.6448611111111,221.81099999999995
perito_moreno_aero,SANTA CRUZ,Patagonia,SAWP,-46.5333,-70.9833,429.0,87852.0,2.24,0.2225,4.38,3.0517,2.14,0.679,36.62,29.7,0.1823,76.8,60.7133,47.1,11.0693,728.56,0.6,0.0511,4.4,4.0333,3.8,0.206,48.4,21.94,0.3707,32.76,16.3683,10.82,6.0678,196.42,13.7,0.5672,15.4,8.7583,1.7,4.9682,105.1,15.1,0.3795,21.5,14.3033,6.4,5.4285,171.64,12.3,1.2505,9.5,3.5167,-2.8,4.3975,42.2,1405.913,1316.8187,-23.0859,23.4498,15.5632,8.3687,23.4474,69.9831,178.9224444444445,73.53802777777778,227.69566666666665
pigue_aero,BUENOS AIRES,Pampeana,SAZE,-37.6,-62.3833,304.0,87679.0,4.1,0.274,7.4,5.5167,3.3,1.5117,66.2,21.8,0.0998,78.9,69.125,57.1,6.8961,829.5,1.3,0.1181,4.7,4.0167,3.4,0.4745,48.2,76.7,0.4148,101.2,68.2,24.5,28.2896,818.4,15.4,0.4001,21.5,13.7833,6.1,5.5146,165.4,17.1,0.2994,28.9,20.4167,11.8,6.1134,245.0,13.1,0.6042,14.3,7.7083,1.2,4.6574,92.5,1405.913,1316.8187,-23.0859,23.4498,14.555,9.398,14.5141,61.0498,202.78808333333333,72.34713888888889,232.85854166666664
