estacion,provincia,region,oaci,latitud,longitud,altura,nro,frecuencia_dias_precipitacion_gt_1mm_anual_amplitud,frecuencia_dias_precipitacion_gt_1mm_anual_cv,frecuencia_dias_precipitacion_gt_1mm_anual_max,frecuencia_dias_precipitacion_gt_1mm_anual_media,frecuencia_dias_precipitacion_gt_1mm_anual_min,frecuencia_dias_precipitacion_gt_1mm_anual_std,frecuencia_dias_precipitacion_gt_1mm_anual_total,humedad_relativa_porcentaje_anual_amplitud,humedad_relativa_porcentaje_anual_cv,humedad_relativa_porcentaje_anual_max,humedad_relativa_porcentaje_anual_media,humedad_relativa_porcentaje_anual_min,humedad_relativa_porcentaje_anual_std,humedad_relativa_porcentaje_anual_total,nubosidad_octavos_anual_amplitud,nubosidad_octavos_anual_cv,nubosidad_octavos_anual_max,nubosidad_octavos_anual_media,nubosidad_octavos_anual_min,nubosidad_octavos_anual_std,nubosidad_octavos_anual_total,precipitacion_mm_anual_amplitud,precipitacion_mm_anual_cv,precipitacion_mm_anual_max,precipitacion_mm_anual_media,precipitacion_mm_anual_min,precipitacion_mm_anual_std,precipitacion_mm_anual_total,temperatura_anual_amplitud,temperatura_anual_cv,temperatura_anual_max,temperatura_anual_media,temperatura_anual_min,temperatura_anual_std,temperatura_anual_total,temperatura_maxima_c_anual_amplitud,temperatura_maxima_c_anual_cv,temperatura_maxima_c_anual_max,temperatura_maxima_c_anual_media,temperatura_maxima_c_anual_min,temperatura_maxima_c_anual_std,temperatura_maxima_c_anual_total,temperatura_minima_c_anual_amplitud,temperatura_minima_c_anual_cv,temperatura_minima_c_anual_max,temperatura_minima_c_anual_media,temperatura_minima_c_anual_min,temperatura_minima_c_anual_std,temperatura_minima_c_anual_total,G0_verano_W_m2,G0_invierno_W_m2,declinacion_verano_grados,declinacion_invierno_grados,duracion_dia_verano_horas,duracion_dia_invierno_horas,angulo_cenital_mediodia_verano_grados,angulo_cenital_mediodia_invierno_grados,ghi,dhi,dni
pilar_observatorio,CORDOBA,Pampeana,SACI,-31.6667,-63.8667,338.0,87349.0,7.3,0.6072,8.2,4.8167,0.9,2.9245,57.8,18.6,0.1011,76.5,68.225,57.9,6.8974,818.7,1.2,0.085,4.2,3.4917,3.0,0.2968,41.9,112.3,0.7236,118.4,62.8167,6.1,45.4511,753.8,14.1,0.2908,23.7,17.2583,9.6,5.0191,207.1,13.0,0.1919,30.1,24.1833,17.1,4.6409,290.2,13.8,0.4294,18.0,11.6083,4.2,4.985,139.3,1405.913,1316.8187,-23.0859,23.4498,14.0324,9.9308,8.5808,55.1164,209.16477777777777,76.4425,228.37170833333337
posadas_aero,MISIONES,NEA,SARP,-27.3833,-55.9667,125.0,87178.0,4.8,0.1495,10.4,7.6917,5.6,1.1501,92.3,12.1,0.0576,77.5,70.9167,65.4,4.0867,851.0,0.8,0.0662,4.0,3.5167,3.2,0.2329,42.2,166.3,0.298,253.4,156.1,87.1,46.5215,1873.2,10.9,0.1781,27.2,22.0667,16.3,3.929,264.8,11.0,0.1456,33.0,27.8417,22.0,4.0527,334.1,10.3,0.2117,22.1,17.2583,11.8,3.6535,207.1,1405.913,1316.8187,-23.0859,23.4498,13.7007,10.2688,4.2974,50.8331,198.38030555555554,79.03230555555557,199.577375
presidencia_roque_saenz_pena_a,CHACO,NEA,SARS,-26.7333,-60.4833,93.0,87148.0,5.6,0.3933,7.6,5.375,2.0,2.1141,64.5,18.8,0.0887,81.3,72.575,62.5,6.4383,870.9,1.7,0.1155,4.5,3.6083,2.8,0.4166,43.3,151.5,0.6265,164.3,86.075,12.8,53.927,1032.9,12.8,0.2134,27.1,21.3167,14.3,4.5481,255.8,11.7,0.1487,33.8,28.4917,22.1,4.2378,341.9,12.36,0.2845,21.44,15.3817,9.08,4.376,184.58,1405.913,1316.8187,-23.0859,23.4498,13.653,10.3174,3.6474,50.1831,204.76247222222221,80.8081111111111,203.45029166666666
puerto_deseado_aero,SANTA CRUZ,Patagonia,SAWD,-47.7333,-65.9,80.0,87896.0,0.94,0.0782,4.14,3.5933,3.2,0.281,43.12,20.4,0.1131,75.1,64.15,54.7,7.2575,769.8,0.8,0.0546,4.6,4.2333,3.8,0.2309,50.8,10.22,0.1571,27.24,22.445,17.02,3.5257,269.34,12.9,0.4537,16.4,10.1917,3.5,4.6239,122.3,15.8,0.3564,23.4,15.8833,7.6,5.6607,190.6,10.4,0.7047,10.5,5.3917,0.1,3.7994,64.7,1405.913,1316.8187,-23.0859,23.4498,15.7291,8.1991,24.6474,71.1831,172.1674444444444,69.27925,208.03408333333334
punta_indio_ba,BUENOS AIRES,Pampeana,SAAI,-35.35,-57.2833,22.0,87596.0,2.1,0.0939,7.4,6.375,5.3,0.5987,76.5,11.5,0.0478,86.8,81.9917,75.3,3.9179,983.9,0.9,0.0876,4.3,3.9083,3.4,0.3423,46.9,48.6,0.1689,116.1,86.7083,67.5,14.6493,1040.5,13.8,0.3047,23.0,16.2083,9.2,4.9381,194.5,14.2,0.2399,27.9,21.0167,13.7,5.0418,252.2,12.9,0.3905,18.3,11.8667,5.4,4.6343,142.4,1405.913,1316.8187,-23.0859,23.4498,14.3466,9.6106,12.2641,58.7998,193.8786666666667,77.141,207.33920833333335
reconquista_aero,SANTA FE,Pampeana,SATR,-29.2,-59.6833,53.0,87270.0,5.3,0.3627,7.7,5.6417,2.4,2.0465,67.7,12.3,0.0631,81.3,74.0333,69.0,4.672,888.4,1.2,0.1003,4.3,3.5417,3.1,0.3554,42.5,138.7,0.5382,162.8,102.15,24.1,54.9792,1225.8,12.9,0.2241,26.4,20.2333,13.5,4.5334,242.8,12.7,0.1702,32.4,26.2333,19.7,4.4655,314.8,12.3,0.2886,21.0,15.1667,8.7,4.3775,182.0,1405.913,1316.8187,-23.0859,23.4498,13.8375,10.1294,6.1141,52.6498,204.30408333333335,74.41727777777778,219.1325416666667
resistencia_aero,CHACO,NEA,SARE,-27.4333,-59.0333,52.0,87155.0,5.3,0.3259,8.0,5.9583,2.7,1.9421,71.5,13.4,0.0622,82.2,74.7333,68.8,4.6496,896.8,1.0,0.0728,4.4,3.7667,3.4,0.2741,45.2,155.5,0.5108,179.9,116.0917,24.4,59.2956,1393.1,12.1,0.2019,26.9,21.275,14.8,4.2961,255.3,11.8,0.1508,33.4,27.6833,21.6,4.175,332.2,11.8,0.2684,21.2,15.75,9.4,4.2266,189.0,1405.913,1316.8187,-23.0859,23.4498,13.7044,10.265,4.3474,50.8831,204.86149999999998,77.58011111111111,212.98320833333335
rio_cuarto_aero,CORDOBA,Pampeana,SAOC,-33.0833,-64.2667,421.0,87453.0,7.3,0.5245,8.8,5.45,1.5,2.8586,65.4,16.8,0.096,73.3,65.4167,56.5,6.2791,785.0,0.9,0.0738,4.0,3.475,3.1,0.2563,41.7,127.7,0.7145,135.4,69.875,7.7,49.9281,838.5,14.2,0.3095,23.0,16.475,8.8,5.0992,197.7,13.4,0.2101,29.1,23.0417,15.7,4.841,276.5,13.8,0.445,17.6,11.1333,3.8,4.9548,133.6,1405.913,1316.8187,-23.0859,23.4498,14.1496,9.8113,9.9974,56.5331,207.93830555555556,73.00891666666665,233.88566666666668
rio_gallegos_aero,SANTA CRUZ,Patagonia,SAWG,-51.6,-69.3,19.0,87925.0,3.6,0.2234,6.4,4.5667,2.8,1.0201,54.8,27.1,0.1601,79.0,64.375,51.9,10.309,772.5,1.2,0.0834,5.5,4.825,4.3,0.4025,57.9,17.7,0.2463,32.2,23.05,14.5,5.6779,276.6,12.1,0.576,13.6,7.75,1.5,4.4641,93.0,14.9,0.4169,20.0,13.2,5.1,5.5036,158.4,9.7,1.3343,7.4,2.625,-2.3,3.5025,31.5,1405.913,1316.8187,-23.0859,23.4498,16.3378,7.5759,28.5141,75.0498,141.21602777777778,73.13297222222222,167.07495833333334
rio_grande_ba,TIERRA DEL FUEG,Patagonia,SAWE,-53.7667,-67.75,22.0,87934.0,4.1,0.2033,7.8,5.7583,3.7,1.1704,69.1,15.7,0.0749,89.1,81.0167,73.4,6.0693,972.2,1.4,0.1003,5.4,4.7417,4.0,0.4757,56.9,22.4,0.2535,38.4,27.125,16.0,6.8771,325.5,10.9,0.694,11.0,5.725,0.1,3.9729,68.7,12.8,0.4602,16.0,10.2167,3.2,4.7022,122.6,8.9,1.9575,5.9,1.625,-3.0,3.1809,19.5,1405.913,1316.8187,-23.0859,23.4498,16.7425,7.1606,30.6808,77.2164,139.13663888888888,68.97630555555554,170.75054166666666
rosario_aero,SANTA FE,Pampeana,SAAR,-32.9,-60.7667,25.0,87480.0,5.3,0.3687,7.9,5.4083,2.6,1.9943,64.9,15.5,0.0778,81.0,72.95,65.5,5.6757,875.4,1.1,0.0973,4.2,3.5833,3.1,0.3486,43.0,115.4,0.5118,138.4,87.7917,23.0,44.9302,1053.5,14.7,0.2924,24.8,17.7583,10.1,5.1933,213.1,14.4,0.2127,30.9,23.9833,16.5,5.1008,287.8,13.8,0.4064,18.7,12.075,4.9,4.9068,144.9,1405.913,1316.8187,-23.0859,23.4498,14.1342,9.827,9.8141,56.3498,202.19516666666667,77.2046388888889,214.50154166666664
salta_aero,SALTA,NOA,SASA,-24.8333,-65.4667,1221.0,87047.0,11.9,0.8747,12.4,5.25,0.5,4.5924,63.0,27.1,0.1313,82.9,71.9,55.8,9.4402,862.8,2.9,0.2216,5.8,4.675,2.9,1.0358,56.1,194.8,1.1153,197.1,61.525,2.3,68.6196,738.3,11.6,0.2503,21.7,16.9,10.1,4.23,202.8,8.6,0.1307,28.4,24.375,19.8,3.1869,292.5,13.9,0.4641,16.8,10.8833,2.9,5.0508,130.6,1405.913,1316.8187,-23.0859,23.4498,13.5169,10.456,1.7474,48.2831,229.20061111111113,86.96555555555555,257.28950000000003
san_antonio_oeste_aero,RIO NEGRO,Patagonia,SAVN,-40.75,-65.0167,20.0,87784.0,1.4,0.1394,3.6,2.9083,2.2,0.4055,34.9,22.0,0.1394,67.5,56.1833,45.5,7.8295,674.2,1.3,0.1242,4.1,3.5,2.8,0.4348,42.0,21.0,0.2722,37.6,24.45,16.6,6.6563,293.4,16.2,0.3988,22.8,14.8167,6.6,5.9085,177.8,17.0,0.2845,30.4,21.8583,13.4,6.2191,262.3,14.7,0.6469,15.7,8.125,1.0,5.2557,97.5,1405.913,1316.8187,-23.0859,23.4498,14.873,9.0736,17.6641,64.1998,202.3301388888889,70.4705,242.41987500000002
san_fernando_aero,BUENOS AIRES,Pampeana,SADF,-34.45,-58.5833,5.0,87553.0,3.2,0.1592,7.4,5.9917,4.2,0.9539,71.9,15.7,0.0737,80.3,72.7667,64.6,5.3649,873.2,1.1,0.1134,4.0,3.4833,2.9,0.395,41.8,70.1,0.2474,122.6,95.325,52.5,23.581,1143.9,14.0,0.2832,24.6,17.6333,10.6,4.9941,211.6,14.1,0.2218,29.5,22.4917,15.4,4.9888,269.9,13.1,0.3672,19.3,12.8083,6.2,4.7031,153.7,1405.913,1316.8187,-23.0859,23.4498,14.2669,9.6918,11.3641,57.8998,199.86391666666665,77.28377777777779,212.44079166666666
san_juan_aero,SAN JUAN,Cuyo,SANU,-31.5667,-68.4167,598.0,87311.0,2.5,0.6862,2.8,1.1583,0.3,0.7948,13.9,24.1,0.1845,62.2,48.225,38.1,8.898,578.7,0.8,0.105,2.9,2.475,2.1,0.2598,29.7,21.2,0.9052,22.5,7.55,1.3,6.8339,90.6,19.8,0.399,27.3,18.025,7.5,7.1918,216.3,18.4,0.253,35.1,26.3917,16.7,6.6762,316.7,19.5,0.6634,19.8,10.55,0.3,6.9992,126.6,1405.913,1316.8187,-23.0859,23.4498,14.0243,9.9391,8.4808,55.0164,242.15308333333334,67.46236111111111,313.14370833333334
san_julian_aero,SANTA CRUZ,Patagonia,SAWJ,-49.3,-67.8,62.0,87909.0,1.5,0.1239,4.6,3.8,3.1,0.471,45.6,23.0,0.1367,74.5,61.9583,51.5,8.4699,743.5,0.9,0.0755,4.7,4.075,3.8,0.3079,48.9,15.1,0.2382,30.6,21.5167,15.5,5.1251,258.2,12.8,0.4729,16.1,9.8417,3.3,4.6541,118.1,15.5,0.3617,22.9,15.7083,7.4,5.6823,188.5,9.9,0.7997,9.4,4.5,-0.5,3.5985,54.0,1405.913,1316.8187,-23.0859,23.4498,15.9609,7.962,26.2141,72.7498,160.23155555555556,69.63483333333333,199.11283333333333
san_luis_aero,SAN LUIS,Cuyo,SAOU,-33.2667,-66.35,713.0,87436.0,7.1,0.5804,8.3,4.7,1.2,2.728,56.4,20.7,0.1354,66.2,55.1667,45.5,7.4701,662.0,0.9,0.0695,4.0,3.4333,3.1,0.2387,41.2,109.9,0.7947,115.3,55.5917,5.4,44.179,667.1,15.2,0.3098,24.8,17.6083,9.6,5.455,211.3,14.9,0.2203,31.6,24.3917,16.7,5.3724,292.7,14.3,0.435,18.3,11.6917,4.0,5.0862,140.3,1405.913,1316.8187,-23.0859,23.4498,14.1651,9.7956,10.1808,56.7164,218.94975,73.12755555555555,258.42866666666663
san_martin_mza,MENDOZA,Cuyo,SAMI,-33.0667,-68.45,653.0,87416.0,4.7,0.6523,5.3,2.325,0.6,1.5167,27.9,21.0,0.1352,69.8,57.7417,48.8,7.808,692.9,1.0,0.1078,3.3,2.6333,2.3,0.2839,31.6,44.9,0.7849,48.0,21.8833,3.1,17.1766,262.6,17.6,0.3789,25.2,16.8167,7.6,6.3714,201.8,17.1,0.252,32.9,24.675,15.8,6.2185,296.1,16.4,0.5567,18.3,10.5083,1.9,5.8503,126.1,1405.913,1316.8187,-23.0859,23.4498,14.1482,9.8128,9.9808,56.5164,227.99597222222226,68.20858333333334,284.1807083333333
san_miguel,BUENOS AIRES,GBA,,-34.54,-58.71,28.0,87570.0,3.3,0.1791,8.1,6.645,4.8,1.1904,79.74,15.5,0.0706,82.5,75.0083,67.0,5.2966,900.1,1.0,0.0884,4.4,3.8833,3.4,0.3433,46.6,80.9,0.286,130.7,94.0417,49.8,26.8944,1128.5,13.9,0.2895,24.1,17.2083,10.2,4.981,206.5,14.7,0.228,30.1,22.8333,15.4,5.2065,274.0,12.8,0.374,18.7,12.2833,5.9,4.5938,147.4,1405.913,1316.8187,-23.0859,23.4498,14.2748,9.6838,11.4541,57.9898,199.86391666666665,77.28377777777779,212.44079166666666
san_rafael_aero,MENDOZA,Cuyo,SAMR,-34.5833,-68.4,748.0,87509.0,4.1,0.3804,5.4,3.5,1.3,1.3314,42.0,22.0,0.1278,68.6,56.4833,46.6,7.2176,677.8,1.0,0.1001,3.4,2.8083,2.4,0.2811,33.7,47.0,0.5106,54.2,30.2417,7.2,15.4417,362.9,17.0,0.3953,23.8,15.3833,6.8,6.0806,184.6,16.4,0.2505,31.8,23.5583,15.4,5.9022,282.7,15.0,0.6386,15.8,8.4083,0.8,5.3694,100.9,1405.913,1316.8187,-23.0859,23.4498,14.2786,9.6799,11.4974,58.0331,226.53308333333337,67.17275000000001,284.5650416666667
santa_rosa_aero,LA PAMPA,Pampeana,SAZR,-36.5833,-64.2667,191.0,87623.0,4.7,0.3724,7.0,4.7083,2.3,1.7532,56.5,22.5,0.112,75.8,64.4417,53.3,7.2149,773.3,1.3,0.1322,4.3,3.6417,3.0,0.4814,43.7,81.7,0.5141,99.0,62.7833,17.3,32.2749,753.4,16.4,0.3762,23.8,15.6583,7.4,5.8912,187.9,17.0,0.2616,31.5,23.125,14.5,6.0491,277.5,14.4,0.5547,16.5,9.3333,2.1,5.1776,112.0,1405.913,1316.8187,-23.0859,23.4498,14.4591,9.4959,13.4974,60.0331,206.19233333333338,70.63561111111112,238.27166666666665
santiago_del_estero_aero,SANTIAGO DEL ES,NOA,SANE,-27.75,-64.2833,199.0,87129.0,7.3,0.6151,7.8,4.4333,0.5,2.7271,53.2,26.1,0.1433,75.3,63.95,49.2,9.1612,767.4,1.8,0.146,4.4,3.7917,2.6,0.5534,45.5,137.7,0.8847,139.3,54.3667,1.6,48.0974,652.4,14.9,0.2622,27.0,20.575,12.1,5.3943,246.9,13.8,0.1774,34.2,28.175,20.4,4.9991,338.1,15.8,0.4055,20.7,14.0583,4.9,5.701,168.7,1405.913,1316.8187,-23.0859,23.4498,13.7279,10.241,4.6641,51.1998,205.34355555555555,79.02600000000001,211.33783333333335
sauce_viejo_aero,SANTA FE,Pampeana,SAAV,-31.7,-60.8,18.0,87371.0,5.2,0.3629,7.7,5.4083,2.5,1.9626,64.9,13.5,0.0689,80.7,73.3,67.2,5.049,879.6,1.0,0.102,3.9,3.25,2.9,0.3317,39.0,117.7,0.5282,143.1,89.65,25.4,47.3543,1075.8,14.2,0.2632,25.7,18.925,11.5,4.9809,227.1,14.0,0.198,31.5,24.775,17.5,4.9057,297.3,13.4,0.3457,20.1,13.7083,6.7,4.7391,164.5,1405.913,1316.8187,-23.0859,23.4498,14.0351,9.9281,8.6141,55.1498,205.42366666666666,74.20527777777778,222.31633333333335
tandil_aero,BUENOS AIRES,Pampeana,SAZT,-37.2333,-59.2167,175.0,87645.0,3.4,0.2183,7.3,5.5583,3.9,1.2132,66.7,17.0,0.0724,81.6,74.6417,64.6,5.4063,895.7,1.1,0.1119,4.4,3.8833,3.3,0.4345,46.6,67.7,0.3005,108.8,76.05,41.1,22.8548,912.6,14.6,0.3811,20.8,13.5417,6.2,5.1609,162.5,15.9,0.2747,28.4,20.4,12.5,5.6029,244.8,12.2,0.6073,13.3,7.1917,1.1,4.3673,86.3,1405.913,1316.8187,-23.0859,23.4498,14.5201,9.4337,14.1474,60.6831,196.13688888888888,75.13063888888888,218.881125
tartagal_aero,SALTA,NOA,SAST,-22.6,-63.7833,450.0,87022.0,9.2,0.6386,9.9,5.625,0.7,3.5919,67.5,31.8,0.1594,82.4,70.3167,50.6,11.2052,843.8,2.4,0.1687,5.3,4.5717,2.9,0.7714,54.86,194.0,0.9404,197.8,83.0917,3.8,78.1354,997.1,11.2,0.1925,26.0,21.4833,14.8,4.1361,257.8,11.0,0.147,32.5,27.975,21.5,4.1119,335.7,11.5,0.258,20.8,16.1833,9.3,4.1761,194.2,1405.913,1316.8187,-23.0859,23.4498,13.3627,10.613,0.4859,46.0498,200.4708888888889,89.87158333333333,177.3312083333333
tinogasta,CATAMARCA,NOA,SANI,-28.0667,-67.55,1201.0,87211.0,4.5,0.9425,4.8,1.6583,0.3,1.5629,19.9,17.5,0.1191,62.7,53.675,45.2,6.3946,644.1,2.3,0.238,4.3,3.025,2.0,0.72,36.3,36.2,1.0806,37.4,11.0833,1.2,11.9764,133.0,16.0,0.3054,26.2,19.1917,10.2,5.8606,230.3,14.2,0.1879,34.2,27.875,20.0,5.2383,334.5,18.7,0.6707,18.9,10.275,0.2,6.8914,123.3,1405.913,1316.8187,-23.0859,23.4498,13.7516,10.2169,4.9808,51.5164,250.81622222222222,72.79772222222223,321.0470833333333
trelew_aero,CHUBUT,Patagonia,SAVT,-43.2,-65.2667,43.0,87828.0,1.7,0.2067,3.9,3.025,2.2,0.6254,36.3,26.1,0.1691,67.5,54.3083,41.4,9.1858,651.7,0.8,0.0761,4.0,3.6917,3.2,0.2811,44.3,13.5,0.2652,25.4,18.175,11.9,4.8206,218.1,15.7,0.4111,21.6,13.7417,5.9,5.6489,164.9,16.9,0.292,29.3,20.9083,12.4,6.1049,250.9,13.4,0.6935,13.7,6.9,0.3,4.7848,82.8,1405.913,1316.8187,-23.0859,23.4498,15.146,8.795,20.1141,66.6498,190.56838888888888,73.05919444444444,223.4300833333333
tres_arroyos,BUENOS AIRES,Pampeana,SAZH,-38.35,-60.2833,115.0,87688.0,2.5,0.1425,7.3,6.1917,4.8,0.8826,74.3,19.6,0.0917,77.7,69.5417,58.1,6.3792,834.5,1.3,0.121,4.9,4.3,3.6,0.5205,51.6,63.8,0.2971,106.5,69.3333,42.7,20.5989,832.0,14.7,0.3639,21.8,14.325,7.1,5.2122,171.9,16.7,0.2829,29.4,20.9583,12.7,5.9294,251.5,12.1,0.4818,15.2,9.075,3.1,4.372,108.9,1405.913,1316.8187,-23.0859,23.4498,14.6278,9.3238,15.2641,61.7998,195.8607777777778,74.9815,215.04983333333334
tucuman_aero,TUCUMAN,NOA,SANT,-26.8333,-65.1,450.0,87121.0,7.3,0.6151,7.8,4.4333,0.5,2.7271,53.2,26.1,0.1433,75.3,63.95,49.2,9.1612,767.4,1.8,0.146,4.4,3.7917,2.6,0.5534,45.5,137.7,0.8847,139.3,54.3667,1.6,48.0974,652.4,13.0,0.2393,25.3,19.7667,12.3,4.7306,237.2,12.3,0.172,31.3,26.1417,19.0,4.497,313.7,13.4,0.3336,20.3,14.5,6.9,4.8375,174.0,1405.913,1316.8187,-23.0859,23.4498,13.6603,10.3099,3.7474,50.2831,219.22219444444445,81.42755555555556,253.90225
ushuaia_aero,TIERRA DEL FUEG,Patagonia,SAWH,-54.8333,-68.3,57.0,87938.0,2.4,0.0947,9.3,8.2583,6.9,0.7821,99.1,10.9,0.0505,81.0,74.7917,70.1,3.7735,897.5,1.1,0.0677,5.9,5.3583,4.8,0.363,64.3,18.6,0.1478,47.0,38.15,28.4,5.6371,457.8,7.2,0.4486,9.5,6.0,2.3,2.6917,72.0,9.1,0.3646,13.6,9.35,4.5,3.4089,112.2,4.58,0.6838,4.72,2.5167,0.14,1.7209,30.2,1405.913,1316.8187,-23.0859,23.4498,16.9637,6.9333,31.7474,78.2831,111.88352777777777,71.1571388888889,124.33820833333333
venado_tuerto_aero,SANTA FE,Pampeana,SAFV,-33.6667,-61.95,112.0,87468.0,5.46,0.4074,7.46,5.1783,2.0,2.1099,62.14,11.9,0.0594,80.9,75.825,69.0,4.5056,909.9,0.9,0.104,3.8,3.2917,2.9,0.3423,39.5,118.2,0.5732,135.9,75.41,17.7,43.2222,904.92,14.2,0.309,23.0,16.4083,8.8,5.0707,196.9,13.7,0.2112,29.7,23.4833,16.0,4.9587,281.8,13.3,0.466,16.6,10.275,3.3,4.7883,123.3,1405.913,1316.8187,-23.0859,23.4498,14.1992,9.7609,10.5808,57.1164,203.16988888888895,75.47416666666665,221.17983333333333
viedma_aero,RIO NEGRO,Patagonia,SAVV,-40.85,-63.0,7.0,87791.0,1.3,0.0984,4.5,3.8333,3.2,0.3774,46.0,24.4,0.1378,73.8,62.3583,49.4,8.5906,748.3,1.5,0.145,4.3,3.6083,2.8,0.523,43.3,29.8,0.2636,53.0,31.925,23.2,8.4168,383.1,15.4,0.391,22.1,14.3167,6.7,5.5983,171.8,16.6,0.2831,29.7,21.3667,13.1,6.0497,256.4,13.3,0.6182,14.7,7.8417,1.4,4.8476,94.1,1405.913,1316.8187,-23.0859,23.4498,14.8837,9.0628,17.7641,64.2998,194.90908333333334,74.17830555555555,221.09124999999997
villa_de_maria_del_rio_seco,CORDOBA,Pampeana,SACV,-29.9,-63.7167,341.0,87244.0,7.3,0.5962,7.9,4.7333,0.6,2.8218,56.8,16.8,0.0839,81.9,73.9917,65.1,6.2072,887.9,1.6,0.1247,4.4,3.7,2.8,0.4612,44.4,115.4,0.7573,120.3,62.7417,4.9,47.516,752.9,14.6,0.2875,24.5,17.8417,9.9,5.1288,214.1,13.1,0.1821,31.8,25.575,18.7,4.6566,306.9,12.28,0.3812,17.8,12.0183,5.52,4.5816,144.22,1405.913,1316.8187,-23.0859,23.4498,13.8917,10.0742,6.8141,53.3498,208.6383888888889,78.56075,222.72179166666663
villa_dolores_aero,CORDOBA,Pampeana,SAOD,-31.95,-65.1333,569.0,87328.0,7.5,0.6267,8.5,4.75,1.0,2.977,57.0,24.5,0.1473,72.9,60.6,48.4,8.9238,727.2,1.1,0.0914,3.8,3.25,2.7,0.297,39.0,106.6,0.8019,111.3,53.3917,4.7,42.8127,640.7,15.4,0.3009,25.4,18.3583,10.0,5.5241,220.3,14.6,0.2039,32.7,25.95,18.1,5.2919,311.4,14.0,0.4134,18.4,12.0667,4.4,4.9884,144.8,1405.913,1316.8187,-23.0859,23.4498,14.0555,9.9073,8.8641,55.3998,223.80427777777777,73.68938888888889,260.1774166666667
villa_reynolds_aero,SAN LUIS,Cuyo,SAOR,-33.7167,-65.3667,486.0,87448.0,7.3,0.4872,9.1,5.6833,1.8,2.7689,68.2,16.5,0.0919,77.4,68.7083,60.9,6.3125,824.5,0.7,0.0546,4.1,3.675,3.4,0.2006,44.1,95.6,0.6239,105.4,60.3583,9.8,37.6591,724.3,16.3,0.3694,23.3,15.6917,7.0,5.7963,188.3,14.1,0.2042,31.2,24.5667,17.1,5.0166,294.8,15.8,0.6957,15.5,8.1583,-0.3,5.6754,97.9,1405.913,1316.8187,-23.0859,23.4498,14.2035,9.7565,10.6308,57.1664,215.12269444444442,75.29086111111111,246.71562499999996
